property_type,state,lat,lon,area_m2
house,San Luis Potosí,22.134478,-100.929138,97
house,Querétaro,,,90
house,Estado de México,19.5562275,-99.2674713,64
apartment,Querétaro,20.726007,-100.442642,173
house,Nuevo León,25.757803,-100.404541,179
house,San Luis Potosí,22.1593377,-101.0443504,187
house,Querétaro,20.726007,-100.442642,180
house,Distrito Federal,19.475765,-99.145,270
house,Querétaro,20.6490506,-100.4393293,380
house,Puebla,19.060701,-98.329774,255
house,Veracruz de Ignacio de la Llave,25.365447,-100.9942,167
apartment,Guerrero,23.634501,-102.552788,180
house,Baja California,32.589504,-115.363762,86
apartment,Distrito Federal,19.383952,-99.160229,110
house,Puebla,18.97302,-98.206238,210
apartment,Baja California Sur,24.16478214,-110.3053683,71
apartment,Yucatán,21.072905,-89.65963,210
house,Morelos,,,81
house,Sinaloa,,,224
house,Sonora,,,150
apartment,San Luis Potosí,,,220
house,Nuevo León,25.758963,-100.316811,175
house,Puebla,19.0378006,-98.3007086,165
house,Morelos,,,185
house,Distrito Federal,19.3870644,-99.0362059,300
house,Estado de México,19.5329337,-99.164866,290
house,Veracruz de Ignacio de la Llave,,,225
house,Tlaxcala,19.29712,-98.255075,160
house,Morelos,,,150
house,Veracruz de Ignacio de la Llave,,,155
house,Morelos,23.634501,-102.552788,110
house,Querétaro,20.70706703,-100.4718161,309
house,Puebla,19.046589,-98.102929,92
house,Nuevo León,25.7394971,-100.2754971,164
house,Veracruz de Ignacio de la Llave,19.100079,-96.121007,220
house,Morelos,,,144
house,San Luis Potosí,22.147087,-100.960213,105
apartment,San Luis Potosí,,,169
house,Guanajuato,21.1264477,-101.611078,250
house,Morelos,18.917542,-98.963181,140
house,Distrito Federal,19.472128,-99.146697,190
house,Estado de México,19.234984,-99.558175,115
house,Puebla,18.9187144,-98.4266391,90
house,Yucatán,21.075163,-89.516731,185
